instanceid,text,category,label
31887537,Outcomes based on age in the phase III METEOR trial of cabozantinib versus everolimus in patients with advanced renal cell carcinoma.,2020,0
31886693,Values clarification and parental decision making about newborn genomic sequencing.,2020,0
31883418,Avelumab plus axitinib vs sunitinib for advanced renal cell carcinoma: Japanese subgroup analysis from JAVELIN Renal 101.,2020,0
31882508,Reducing Radiation Dermatitis Using a Film-forming Silicone Gel During Breast Radiotherapy: A Pilot Randomized-controlled Trial.,None,0
31881877,The influence of a community intervention on influenza vaccination knowledge and behavior among diabetic patients.,2019,0
31881599,"Results of XPAND II: A Multicenter, Prospective, Continued-Access Clinical Trial Using the AeroForm Tissue Expander for Two-Stage Breast Reconstruction.",2020,0
31880966,Randomized Phase III Study of Continuation Maintenance Bevacizumab With or Without Pemetrexed in Advanced Nonsquamous Non-Small-Cell Lung Cancer: COMPASS (WJOG5610L).,2020,0
31880964,Phase III Study of Adjuvant Ipilimumab (3 or 10 mg/kg) Versus High-Dose Interferon Alfa-2b for Resected High-Risk Melanoma: North American Intergroup E1609.,2020,0
31823654,ENERGIZE: a Phase III study of neoadjuvant chemotherapy alone or with nivolumab with/without linrodostat mesylate for muscle-invasive bladder cancer.,2020,0
31823152,"A randomized, double-blind, comparison of radium-223 and placebo, in combination with abiraterone acetate and prednisolone, in castration-resistant metastatic prostate cancer: subgroup analysis of Japanese patients in the ERA 223 study.",2020,0
31822399,Phase 2 study of the Exportin 1 inhibitor selinexor in patients with recurrent gynecological malignancies.,2020,0
31821591,"Phase 2 study of efgartigimod, a novel FcRn antagonist, in adult patients with primary immune thrombocytopenia.",2020,0
31821109,NSABP B-47/NRG Oncology Phase III Randomized Trial Comparing Adjuvant Chemotherapy With or Without Trastuzumab in High-Risk Invasive Breast Cancer Negative for HER2 by FISH and With IHC 1+ or 2.,2020,0
31821071,,2020,0
31819304,Usage of Probiotics and its Clinical Significance at Surgically Treated Patients Sufferig from Colorectal Carcinoma.,2019,0
31233395,Cost-effectiveness of laparoscopic ileocaecal resection versus infliximab treatment of terminal ileitis in Crohn's disease: the LIR!C Trial.,2019,0
31233220,Multicentre randomized clinical trial of colonic J pouch or straight stapled colorectal reconstruction after low anterior resection for rectal cancer.,2019,0
31232840,A Comparison of Three Dressing Methods for Pilonidal Sinus Surgery Wound Healing.,2019,0
31232076,Prehabilitation in patients undergoing pancreaticoduodenectomy: a randomized controlled trial.,2019,0
31231970,Inter-Relations between Partner-Provided Support and Self-Efficacy: A Dyadic Longitudinal Analysis.,2019,0
31231865,Access and concentrations of atorvastatin in the prostate in men with prostate cancer.,2019,1
31231828,Bortezomib consolidation following autologous transplant in younger and older patients with newly diagnosed multiple myeloma in two phase III trials.,2019,1
31230661,Post-colposcopy Management of ASC-US and LSIL Pap Tests (PALS Trial): Pilot RCT.,2019,1
31229857,Anthracycline could be essential for triple-negative breast cancer: A randomised phase II study by the Kanagawa Breast Oncology Group (KBOG) 1101.,2019,1
31229621,Health coaching to encourage obese adults to enroll in commercially-available weight management programs: The path to health study.,2019,1
31229401,A 1-year randomized trial of deferasirox alone versus deferasirox and deferoxamine combination for the treatment of iron overload in thalassemia major.,2019,1
31229240,Pexidartinib versus placebo for advanced tenosynovial giant cell tumour (ENLIVEN): a randomised phase 3 trial.,2019,1
31229207,Care After Lymphoma (CALy) trial: A phase II pilot pragmatic randomised controlled trial of a nurse-led model of survivorship care.,2019,1
31229205,Prevention of chemotherapy-induced peripheral neuropathy with classical massage in breast cancer patients receiving paclitaxel: An assessor-blinded randomized controlled trial.,2019,1
31229204,The effectiveness of lymphedema self-management in the prevention of breast cancer-related lymphedema and quality of life: A randomized controlled trial.,2019,1
