instanceid,text,category
31138522,Randomized Double-Blind Placebo-Controlled Biomarker Modulation Study of Vitamin D Supplementation in Premenopausal Women at High Risk for Breast Cancer (SWOG S0812).,2019
31138332,"Quality of life outcomes including neuropathy-associated scale from a phase II, multicenter, randomized trial of eribulin plus gemcitabine versus paclitaxel plus gemcitabine as first-line chemotherapy for HER2-negative metastatic breast cancer: Korean Cancer Study Group Trial (KCSG BR13-11).",2019
31138244,Rationale and design of the German-speaking myeloma multicenter group (GMMG) trial HD6: a randomized phase III trial on the effect of elotuzumab in VRD induction/consolidation and lenalidomide maintenance in patients with newly diagnosed myeloma.,2019
31138165,A family-based multimedia intervention to enhance the uptake of colorectal cancer screening among older South Asian adults in Hong Kong: a study protocol for a cluster randomized controlled trial.,2019
31137964,Duvelisib: a new phosphoinositide-3-kinase inhibitor in chronic lymphocytic leukemia.,2019
31136658,Decreased plasma serotonin and other metabolite changes in healthy adults after consumption of wholegrain rye: an untargeted metabolomics study.,2019
31136089,A simple algorithm to predict non-compliance with organ at risk dose-volume constraints when planning intensity modulated post-prostatectomy radiation treatment: 'Why we should put the CART before the horse'.,2019
31135850,Effect of Laparoscopic vs Open Distal Gastrectomy on 3-Year Disease-Free Survival in Patients With Locally Advanced Gastric Cancer: The CLASS-01 Randomized Clinical Trial.,2019
31135633,"Safety, Feasibility, and Efficacy of Pancolonic Retroflexed Viewing Using a Short-turn Radius Colonoscope.",None
31135225,The Effects of Synbiotic Supplementation on Antioxidant Capacity and Arm Volumes in Survivors of Breast Cancer-Related Lymphedema.,2020
31134488,Dissecting the effect of hormone receptor status in patients with HER2-positive early breast cancer: exploratory analysis from the ALTTO (BIG 2-06) randomized clinical trial.,2019
31134323,Effect of ethnicity on vinorelbine pharmacokinetics: a population pharmacokinetics analysis.,2019
31133040,Change in physical activity and quality of life in endometrial cancer survivors receiving a physical activity intervention.,2019
31132509,Sessions of Prolonged Continuous Theta Burst Stimulation or High-frequency 10 Hz Stimulation to Left Dorsolateral Prefrontal Cortex for 3 Days Decreased Pain Sensitivity by Modulation of the Efficacy of Conditioned Pain Modulation.,2019
31132111,Curcumin Combined with FOLFOX Chemotherapy Is Safe and Tolerable in Patients with Metastatic Colorectal Cancer in a Randomized Phase IIa Trial.,2019
31132095,Optimizing Warnings on E-Cigarette Advertisements.,2020
31132015,The impact of valence framing on response expectancies of side effects and subsequent experiences: a randomised controlled trial.,2019
31131640,"Impact of Somatic Yoga and Meditation on Fall Risk, Function, and Quality of Life for Chemotherapy-Induced Peripheral Neuropathy Syndrome in Cancer Survivors.",None
31130429,Stenting for symptomatic vertebral artery stenosis: a preplanned pooled individual patient data analysis.,2019
31129907,Development and validation of a model to predict outcomes of colon cancer surveillance.,2019
31129760,Development and evaluation of the Cancer Symptom Management System: Symptom Management Improves your LifE (SMILE)-a randomized controlled trial.,2020
31129600,Promoting physical activity in regional and remote cancer survivors (PPARCS) using wearables and health coaching: randomised controlled trial protocol.,2019
31129386,"FOLFOX alone or combined with rilotumumab or panitumumab as first-line treatment for patients with advanced gastroesophageal adenocarcinoma (PRODIGE 17-ACCORD 20-MEGA): a randomised, open-label, three-arm phase II trial.",2019
31128959,Interactivity in a Decision Aid: Findings From a Decision Aid to Technologically Enhance Shared Decision Making RCT.,2019
31128228,Association Between Plasma Brain Natriuretic Peptide and Overall Survival in Patients With Advanced Cancer: Preliminary Findings.,2019
31127974,A randomized control trial of stress management for caregivers of stem cell transplant patients: Effect on patient quality of life and caregiver distress.,2019
31127500,Neutropenia management with palbociclib in Japanese patients with advanced breast cancer.,2019
31127479,A phase II randomized controlled study of pegylated liposomal doxorubicin and carboplatin vs. gemcitabine and carboplatin for platinum-sensitive recurrent ovarian cancer (GOTIC003/intergroup study).,2019
31126554,The efficacy of Tung's acupuncture for sex hormones in polycystic ovary syndrome: A randomized controlled trial.,2019
31126528,"Anthracycline dose optimisation in patients with diffuse large B-cell lymphoma: a multicentre, phase 3, randomised, controlled trial.",2019
